,index,name,address,rating,author,text,review_rating,neg,neu,pos,compound,roberta_neg,roberta_neu,roberta_pos,roberta_compound
22,22,Dark Bullet Sake & Oyster Bar,"154 W 72nd St, New York, NY 10023, USA",4.5,CCG G,A wonderful secret gem for fantastic Japanese food. Perfect place for a date night or friends group hangout. The drink menu (various sakes and beers and a decent selection of cocktails) was well priced. The ambiance is like a dive bar but don’t let that fool you! The Japanese food served is some of the best in Manhattan. The gyu donburi (angus beef rice bowl) was honestly incredible. The oysters were fresh and delicious. The garlic rock shrimp was also very delicious.,5.0,0.037,0.627,0.337,0.9844,0.0025607478,0.0135427825,0.9838965,0.9868268
23,23,Dark Bullet Sake & Oyster Bar,"154 W 72nd St, New York, NY 10023, USA",4.5,Miriam Gómez López,Totally recommended. It was delicious! I’d definitely visit this place again,5.0,0.0,0.477,0.523,0.831,0.0029227086,0.0069278227,0.9901495,0.9892293
24,24,Dark Bullet Sake & Oyster Bar,"154 W 72nd St, New York, NY 10023, USA",4.5,Ivette Alvarez,I've been wanting to try this place and had an opportunity to visit. I was greeted and seated immediately.I had a lychee martini and oysters. The oysters were super fresh and my martini was absolutely perfect.I didn't catch the name of my servers but they were super cool and friendly. I felt like a regular and that is very special. The bar has a pretty nice menu and a pool table!!!!,5.0,0.0,0.596,0.404,0.9887,0.0027120253,0.011538457,0.9857495,0.98745066
25,25,Plantega - Hungry & Healthy Marketplace,"163 W 72nd St, New York, NY 10023, USA",5.0,Sherry Lu,“Shukran” (thank you) mucho glacias,5.0,0.0,1.0,0.0,0.0,0.008976588,0.14693595,0.8440875,0.9040906
26,26,Gebhard's Beer Culture,"228 W 72nd St, New York, NY 10023, USA",4.4,Better Together Here,"Gebhard's Beer Culture boasts a wide variety of unique beers, most on draft. They also have a kitchen with delicious burgers and snacks. We loved the pretzel!

Our favorite part of Gebhard's is the friendly staff and the unique TV choices. While we were there we watched most of Jaws, without sound. And then even caught part of Flubber after, amazing! Would highly recommend this spot.",5.0,0.0,0.734,0.266,0.9682,0.0017571147,0.013992763,0.98425007,0.9886108
27,27,Gebhard's Beer Culture,"228 W 72nd St, New York, NY 10023, USA",4.4,Zak Herm,"Such a great spot. Awesome beer selection, great food, and great pinball options, as well as a small selection of table games. Spectacular vibe if you are looking for a low key place, quick drink after work, or for a long night of pinball",5.0,0.038,0.623,0.339,0.9545,0.0027646387,0.012929537,0.98430586,0.98662364
28,28,Gebhard's Beer Culture,"228 W 72nd St, New York, NY 10023, USA",4.4,Scott Arsenault,"Went there a little over a month ago. Great beer selections, very friendly staff. Definitely my kind of spot. Can’t wait to go back!",5.0,0.0,0.637,0.363,0.8968,0.0023212002,0.0064926622,0.9911862,0.9909507
29,29,Gebhard's Beer Culture,"228 W 72nd St, New York, NY 10023, USA",4.4,Peter Berberian,great selection of beers and really nice food. delicious nachos!!! staff was super friendly. they have PINBALL!!!,5.0,0.0,0.382,0.618,0.9658,0.0032406014,0.0074896263,0.9892698,0.9881537
30,30,Gebhard's Beer Culture,"228 W 72nd St, New York, NY 10023, USA",4.4,Rick Scianablo,Down to earth prices and delicious food in the upper west side & hells kitchen and never ending vintage pinball machines!,5.0,0.0,0.826,0.174,0.6114,0.004295281,0.04090538,0.9547993,0.96880907
31,31,Simply Noodles,"267 Amsterdam Ave Unit 1, New York, NY 10023, USA",4.6,Cheryl Pink,"Dive into a world of noodle perfection at Simply Noodle in UWS! From their iconic cross bridge noodles to mouthwatering small plates like cheesy shrimp balls and fiery dumplings in spicy oil, every dish is a must-try. Don’t miss out on the heavenly sauerkraut rice noodles – the broth alone is worth the visit! If you’re in UWS, this bustling spot is a must-stop for noodle aficionados.",4.0,0.097,0.733,0.169,0.8118,0.0028408598,0.02224552,0.9749136,0.98177505
32,32,Simply Noodles,"267 Amsterdam Ave Unit 1, New York, NY 10023, USA",4.6,Carol,"Attention and friendly service. Spicy mala rice noodle soup is simply so delicious. The soup base was well seasoned with fresh sliced beef, lettuce 🥬, wood ears mushroom, sweet corns, tofu and half of egg cooked in perfection.

A great spot for a quick bite and dishes are in very generous portions and very well priced considering the location.",5.0,0.0,0.625,0.375,0.9815,0.003975193,0.015989935,0.98003495,0.9820671
33,33,Simply Noodles,"267 Amsterdam Ave Unit 1, New York, NY 10023, USA",4.6,Marco R. Paiz,"The food at Simply Noodle was delicious, each dish bursting with flavor and freshness. However, the service fell short. Midway through our meal, we were politely asked to vacate our table because it was needed for other patrons. This was off-putting as we were still enjoying our food and didn't expect to be rushed in that manner. A wonderful culinary experience marred by subpar customer service handling.",4.0,0.0,0.854,0.146,0.8957,0.2955468,0.257563,0.4468902,0.13235149
34,34,Simply Noodles,"267 Amsterdam Ave Unit 1, New York, NY 10023, USA",4.6,Ni'shaun Dow,I like this small place. It's nice if you want to get a meal by yourself or with a party of three. I definitely recommend the spicy miso ramen (I got mine with extra chili oil cuz I like spice) the texture of the noodles is perfect and feels good when I slurp them.,5.0,0.0,0.623,0.377,0.9666,0.003254558,0.019814817,0.9769306,0.9819562
35,35,Simply Noodles,"267 Amsterdam Ave Unit 1, New York, NY 10023, USA",4.6,Julia Ramos,"The noodles are good, and the food IS good! HOWEVER they make you feel like you need to leave. The atmosphere just isn’t comfortable and i didn’t feel welcomed. My whole dining experience felt rushed and I felt eyes on me the whole time… The real kicker was when they brought the chicken wings and they were pink. they handed the bill right after n we left…. not a good experience at all.",1.0,0.015,0.771,0.214,0.9432,0.9040788,0.08155182,0.014369391,-1.3009729
36,36,Thai 72,"128 W 72nd St, New York, NY 10023, USA",4.4,MAJ PC,"What a great spot for freshly made delicious Thai food! We stopped in for dinner before a show nearby and can't say enough about this restaurant. Staff were happy to seat us without a reservation (it was early and not soon after we sat the place was buzzing with energy).
We stuck to the classics this time and weren't disappointed, each bite was umami filled perfection!
The staff are neatly dressed, polite and friendly, they checked-in occasionally to make we were happy.
Make sure to checkout the cocktail list, my husband (hard spirits only guy) was very happy and a few of the delicious cocktails.
We're definitely planning on returning to try some of duck dishes and other specialties.
Great hidden gem for Thai food!",5.0,0.025,0.687,0.288,0.9915,0.0032764627,0.013965082,0.98275846,0.9848263
37,37,Thai 72,"128 W 72nd St, New York, NY 10023, USA",4.4,Mansi Arora,"Had a great time at Thai 72 - what a find!  We had their delicious five star dumplings and a refreshing lychee Thai iced tea. The masaman curry was rich and flavorful and the roti with it was crispy. The phad khing ginger was initially too salty, but our server quickly rectified this with a replacement. The ambience was inviting, and the service, swift. Being able to make a same-day reservation added to the convenience. Overall, great food and service made our visit memorable.",4.0,0.013,0.785,0.202,0.9527,0.0035244394,0.011109153,0.98536646,0.9856344
38,38,Thai 72,"128 W 72nd St, New York, NY 10023, USA",4.4,Stephan von Huene,"I had an amazing experience here! The waiters are very attentive without doing too much, the price is decent and the food is so good. The atmosphere is very nice and relaxed. I usually ordered the cashew dish with steak to-go, but now I dined in and got drunken noodles. It was delicious. Thanks guys",5.0,0.0,0.716,0.284,0.9534,0.0052885264,0.014435273,0.9802762,0.9795611
39,39,Thai 72,"128 W 72nd St, New York, NY 10023, USA",4.4,Laura Chevalier,"One of the better pad thais I've had in the city, and very efficient service. The fried ice cream was delicious too, though the ice cream was a bit too frozen when served so it was hard to scoop into.

Overall I'd recommend!",5.0,0.032,0.696,0.272,0.9085,0.011860108,0.02785748,0.9602824,0.95642096
40,40,Thai 72,"128 W 72nd St, New York, NY 10023, USA",4.4,H H,"Food is tasty, service is great, and the restaurant and bathroom seem clean to me. But I haven’t had a chance to check on the kitchen, so not sure why their health rating is a B.",4.0,0.074,0.748,0.178,0.4659,0.17077619,0.21266736,0.61655647,0.46672586
41,41,Blondies Sports,"212 W 79th St, New York, NY 10024, USA",4.3,Billy Lazer,"From the moment I walked through the door, I was treated so fantastic by everyone who worked there. The host Jill made me feel welcome and special. I was able to watch the Mets and basketball at the same time. The place was totally packed, yet my waitress brought me a taste of an amazing ipa and the best wings in NYC. Stephanie and Chloe never let my beer go empty. Amazing experience in every way. Highly recommended.",5.0,0.02,0.717,0.263,0.9733,0.003483648,0.012546652,0.9839697,0.98501754
42,42,Blondies Sports,"212 W 79th St, New York, NY 10024, USA",4.3,Lauren Cover,"Definitely a divey scene, but came in to watch a basketball game and there was a good crowd. Plus, if you are in search of the perfect Buffalo wings, I highly recommend this place. They were crispy without being dry, generously sauced, and great flavor wing sauce. 10/10 would come back for more",5.0,0.045,0.651,0.304,0.9589,0.0041739475,0.01817993,0.97764605,0.98047507
43,43,Blondies Sports,"212 W 79th St, New York, NY 10024, USA",4.3,Tomas Williams,I had the driest wing ever. They fried them for too long. I barely taste the skin. It tasted dry almost burnt. It’s sad that you eat it and that they tell you it’s because I picked them as mild. Too dry wings 😩😩,3.0,0.066,0.934,0.0,-0.4284,0.95092946,0.043319285,0.005751332,-1.3989832
44,44,Blondies Sports,"212 W 79th St, New York, NY 10024, USA",4.3,A R,"Blondies Sports bar, having been around since 1979, is the most popular establishment on the Upper West Side to watch live sporting events. On Sundays during football season, this place gets jam-packed during lunchtime. Also, aside from watching live sporting events, Blondies is known for their chicken wings, which are awesome!",5.0,0.0,0.867,0.133,0.8169,0.0015006772,0.03919921,0.95930016,0.97664875
45,45,Blondies Sports,"212 W 79th St, New York, NY 10024, USA",4.3,Mark Bacon,"I come in often with my roommates, and Denny and Jill are nothing but excellent every time.

There was once an issue with our bill and they remedied it immediately and with a smile.

The service here is unmatched, every time we come in we have an excellent experience.   From wait times to staff demeanor, to food quality everything is genuinely top tier. Atmosphere is fun, especially trivia on Friday nights!

The wings are absolutely stellar, every flavor slaps - without fail - and the onion rings are excellent!  The philly cheesesteak is a pass but the fries that come with it are also out of this world.

You would be remiss not to try this local spot!",5.0,0.101,0.79,0.109,0.2755,0.007895944,0.030626383,0.96147764,0.9649469
46,46,Hummus Place,"305 Amsterdam Ave, New York, NY 10023, USA",4.6,Tammy Augustin,It’s really good but I wish they gave me more corn tortilla cus I have a bowl of hummus with nothing to eat it with and the green sauce is really good.,5.0,0.0,0.716,0.284,0.8842,0.018424114,0.062331326,0.9192445,0.922774
47,47,Hummus Place,"305 Amsterdam Ave, New York, NY 10023, USA",4.6,Maddy Aks,"This place was a random pick for dinner and was disappointed when there was no meat on the menu.

Surprisingly all the dishes were delicious and we just ordered more and more.

Tried Eggplant shakshuka for the first time and it was good and it is similar to Indian eggplant curry with eggs.

Even though their fresh juice seems pricey, it’s totally worth trying.",5.0,0.071,0.751,0.178,0.7902,0.32686448,0.33705944,0.33607608,0.014309078
48,48,Hummus Place,"305 Amsterdam Ave, New York, NY 10023, USA",4.6,Bhakti Dalvi,"Great place with good options. Went in for a Sunday brunch. Got an eggplant shakshuka which tasted great. The quantity was great for the price and good for two people. Also got a hot house tea, a good combination with the food.",5.0,0.0,0.611,0.389,0.9682,0.00321897,0.014238925,0.98254204,0.98483306
49,49,Hummus Place,"305 Amsterdam Ave, New York, NY 10023, USA",4.6,Iris Peng,"their brunch platters are amazing — generous portions for just $25 per person.
the place is small in a partially underground space. came in on sunday at opening time and there was plenty of tables and fast service.
got the shakshuka with eggplant and spinach and it was divine. excellent hummus as well.",5.0,0.0,0.736,0.264,0.9477,0.003153252,0.020586168,0.9762606,0.9818238
50,50,Hummus Place,"305 Amsterdam Ave, New York, NY 10023, USA",4.6,Nelson Seto,"If you're craving for hummus, this is the place to go. It's one of the best I've ever had. The falafel was also delicious with a lot sauce. I'm not usually a fan of it, but this one made we want to have more. It was a great find for us since just found it off Google Maps as we were looking for a place for Hummus. We're so happy to have found the Hummus Place. One of the highlight or our trip. Thanks to the staff for the friendly service!",5.0,0.013,0.709,0.278,0.985,0.0039133737,0.011356377,0.9847303,0.98453844
51,51,Salumeria Rosi,"283 Amsterdam Ave, New York, NY 10023, USA",4.5,Nunzio Lupo,"We’ve typically loved this place. Last night was not their best night. The prosciutto puffs were cold in the center, the ice tea was undrinkable, the peaches and burrata had four measly slices a tiny little peach, and the waiter urged us to split the large cotoletta instead of the small, which was enough to easily feed four. The leftovers (pictured) weighed 1.1 pounds. We love this place and want it to succeed, but they need to refocus. We’ll try again before writing it off. Fingers crossed.",3.0,0.024,0.868,0.108,0.7018,0.59297425,0.27074638,0.1362794,-0.6178088
52,52,Salumeria Rosi,"283 Amsterdam Ave, New York, NY 10023, USA",4.5,Isaac Smith,"Excellent lasagna, and decent wine by the glass. Our server was very helpful with wine suggestions, and was decently attentive.

We ate in the enclosed parklet, however a homeless person entered during our meal, and asked every dining patron for money before another member of the service staff arrived to guide the man out of the dining area.",5.0,0.0,0.89,0.11,0.7778,0.006926177,0.06281075,0.93026304,0.95127916
53,53,Salumeria Rosi,"283 Amsterdam Ave, New York, NY 10023, USA",4.5,Bobby,"Nothing is more satisfying than to step into a local restaurant in my neighbourhood and have an otherworldly experience!
These guys truly understand how to cook Italian food and create an excellent experience! A short walk from home!
Thank you!",5.0,0.056,0.687,0.257,0.8648,0.003205772,0.009562977,0.9872313,0.98720413
54,54,Salumeria Rosi,"283 Amsterdam Ave, New York, NY 10023, USA",4.5,Carmine Battista,A great little intimate place.  You know it a good place when Italians are there eating.  Food was fun to eat in a comforting way,4.0,0.0,0.581,0.419,0.9186,0.0042081014,0.011872365,0.98391956,0.9835436
55,55,Salumeria Rosi,"283 Amsterdam Ave, New York, NY 10023, USA",4.5,Ashley Santana,"Small elegant space. The wait for 2 people around 7pm was short. Food was delicious, and the staff was very kind.

They offer small or large plates for some of their dishes, the small plates were the perfect portion for the both of us :)",5.0,0.0,0.694,0.306,0.9531,0.0038834724,0.020208996,0.9759075,0.9801868
56,56,Chirping Chicken,"355 Amsterdam Ave, New York, NY 10024, USA",4.3,David Roig,"Surprinsingly good! We were freezing cold walking from thr AMNH, and we wanted something to kill the hunger. Amazing service, very warm atmosphere super chill, affordable prices and the quality: excellent!! They gave us a free lemonade!",5.0,0.144,0.479,0.377,0.934,0.011891444,0.024494434,0.96361417,0.9580242
57,57,Chirping Chicken,"355 Amsterdam Ave, New York, NY 10024, USA",4.3,Michael Morrongiello,If every restaurant was exactly like this the world would be a better place. I just want to tear apart a half roast chicken like an animal at a reasonable price. Is that so hard?,5.0,0.05,0.701,0.248,0.7456,0.42164573,0.2832687,0.29508564,-0.1957486
58,58,Chirping Chicken,"355 Amsterdam Ave, New York, NY 10024, USA",4.3,marc mcluckie,We ordered the steak baguette with chips and it was nice and simple but tasted amazing! Would highly recommend this place to anyone visiting NYC.,5.0,0.0,0.665,0.335,0.9018,0.0025873727,0.010486217,0.98692644,0.98828846
59,59,Chirping Chicken,"355 Amsterdam Ave, New York, NY 10024, USA",4.3,Lisa Stewart,What a delicious treat!  I had the half chicken with coleslaw and it was a huge portion!  The chicken was tender and tasty!  The coleslaw was just about perfect!  I really enjoyed my dinner!,5.0,0.0,0.593,0.407,0.9528,0.0028981613,0.0076970337,0.9894048,0.9889061
60,60,Chirping Chicken,"355 Amsterdam Ave, New York, NY 10024, USA",4.3,ML SMITH,"When I lived in the city, I would go here often.  I drove by today, and I just had to stop.  The restaurant is clean, bright, and relatively good seating.  For what you pay you, get a ton of food for the price.  Very selective menu with so much to choose from.  Outdoor parking is not ideal, so I recommend being in the neighborhood or ordering ahead and picking it up yourself.

Overall, great place because you get a lot of food for the price you pay",4.0,0.082,0.75,0.167,0.8769,0.013391414,0.0755603,0.91104823,0.9287413
61,61,Playa Betty’s,"320 Amsterdam Ave, New York, NY 10023, USA",4.3,Justin Pontier,"I've always had a soft spot for Playa Betty's – it's practically an institution on the Upper West Side. Every time I return, I'm pleasantly surprised by their ability to keep things fresh and exciting on the menu. Their latest addition, the brunch menu, is no exception. It's a true smorgasbord with options catering to all tastes, and each dish is a delightful fusion of beachy flavors.

For the health-conscious, the breakfast burrito bowl stands out as a nutritious yet satisfying choice. On the flip side, the French toast is a sinful indulgence that is worth every bite. One thing not to miss is their customizable guacamole; where they bring you a tray full of goodies to allow you to tailor the guac to your exact preferences.

Stepping into Playa Betty's for brunch feels like a mini getaway to the sunny shores of California. Highlights include their inventive twist on chicken and waffles with the fried chicken and churros, a refreshing cactus mimosa, and, of course, their stellar taco selection.

If you're in search of a great brunch spot on the Upper West Side that ticks all the boxes – relaxed atmosphere, reasonable prices, and generous portions – look no further than Playa Betty's.",4.0,0.036,0.769,0.195,0.9856,0.0032206199,0.01693286,0.9798465,0.983482
62,62,Playa Betty’s,"320 Amsterdam Ave, New York, NY 10023, USA",4.3,ToEatList,"California-Style vibes and amazing food in the UWS! They’re known for their tacos and tequila, and Playa has recently launched a brand new brunch menu and we were one of the first to give it a try! Think guac and chips, Short Rib enchiladas, French toast a more deliciousness!! 😍 Feels like we’re right back at Venice beach 🏝️ Also def recommend the Betty’s Rita and Caipirinha 🍹",5.0,0.0,0.796,0.204,0.9303,0.001966129,0.011494367,0.98653954,0.9893375
63,63,Playa Betty’s,"320 Amsterdam Ave, New York, NY 10023, USA",4.3,Ekin Alp,Enchiladas are big portion and so tasty but I am not fan of guacamole but it’s fresh. Margaritas are AMAZING 😋 don’t forget to reserve your table,4.0,0.137,0.599,0.264,0.7548,0.016225075,0.04517383,0.9386011,0.93685037
64,64,Playa Betty’s,"320 Amsterdam Ave, New York, NY 10023, USA",4.3,Jessica Ruffus,"The best Mexican food I’ve had in NYC, hands down! Really fun atmosphere and wonderful service. 10/10! The guacamole is EPIC and the chicken enchiladas were to die for!",5.0,0.095,0.606,0.3,0.858,0.0039848424,0.0067129335,0.9893022,0.9866814
65,65,Playa Betty’s,"320 Amsterdam Ave, New York, NY 10023, USA",4.3,Luke Robertson,"Bright colors, reggae music, plenty of seating both indoor and outdoor, social and inviting. Be sure to come in for brunch on the weekend in the Upper West Side to get a tasty:
- Caipirinha or Betty's Rita (margarita) ✅
- Short-Rib Enchiladas ✅
- French Toast ✅
- Birria grilled cheese ✅
My wife and I enjoyed our time here and thought the service was great, very attentive.",5.0,0.0,0.784,0.216,0.9313,0.0020683687,0.04020132,0.95773035,0.97472847
66,66,Sala Thai,"307 Amsterdam Ave, New York, NY 10023, USA",4.8,esther,The menus we ordered were delicious and the prawn pad thai is a must try! The menu has a lot of variety to choose from which is great. The service was great as well but one thing to note is that it is very noisy inside even during a weekday dinner.,5.0,0.045,0.785,0.17,0.7006,0.0032883591,0.013580682,0.98313093,0.98498875
